6-gram,*/*
ATIONS,1788439780
RATION,1427807472
TIONAL,1256170677
NATION,1207543888
ECTION,1142741907
CATION,1142493653
LATION,1129293322
THOUGH,940540926
PRESEN,924368258
TATION,889095131
SHOULD,865940465
RESENT,842160767
GENERA,811155163
DITION,806272277
ATIONA,774827947
PRODUC,759918894
THROUG,749090668
HROUGH,749090668
ETWEEN,744773008
BETWEE,744417157
DIFFER,726617837
ICATIO,722167790
PEOPLE,690873805
IFFERE,677771053
FFEREN,675127825
STRUCT,657045661
ACTION,648840262
PERSON,638143840
ENERAL,633547743
SYSTEM,625355411
RELATI,619426143
CTIONS,614803883
ECAUSE,612555934
BECAUS,612321946
BEFORE,609677832
ESSION,607360670
DEVELO,606493757
EVELOP,606493757
UCTION,602978732
CHANGE,600905781
FOLLOW,597686323
POSITI,580873519
GOVERN,573252076
SITION,557026505
MERICA,549688374
DIRECT,545051837
BILITY,544426478
EFFECT,541114923
AMERIC,532553144
PUBLIC,531120696
NUMBER,525486054
ENTION,525437474
STANCE,524048189
RODUCT,522712743
MATION,520958339
HOWEVE,519207264
OWEVER,519207264
ERENCE,519118234
ECTIVE,516533696
ERATIO,510370426
NSIDER,506327674
ONSIDE,503625460
CONSID,503478930
IMPORT,501144580
FERENC,499707342
PARTIC,494384804
RESPON,483376243
FERENT,478202477
OSITIO,477938889
ZATION,474657376
IZATIO,474448097
POSSIB,474090255
ERTAIN,472064939
STITUT,467426804
ITHOUT,465581954
WITHOU,465581954
FORMAT,462893156
RESULT,457516127
DURING,454999134
HISTOR,453637039
RNMENT,453489822
ERNMEN,450665242
COMMUN,449975123
MEMBER,449483883
OVERNM,447892044
VERNME,447892044
COUNTR,447036035
LITTLE,446701337
ESTION,446313379
NOTHER,445761912
ULATIO,445456046
ANOTHE,444695376
INTERE,443796565
APPEAR,443570620
TEREST,442672825
MPORTA,442392582
NTERES,442029084
ORMATI,441633148
SOCIAL,441109433
ELATIO,440490286
RMATIO,440248903
PORTAN,438371823
EXPERI,437629240
EMENTS,436471968
CONTIN,435876819
OMMUNI,430700906
NSTITU,424861751
NCREAS,424674089
COMPLE,423143704
CERTAI,422571801
INCREA,420881469
PROVID,419135586
IATION,418228113
SPECIA,418156343
ORGANI,417327852
PECIAL,417298425
SCHOOL,415982916
NCTION,414497196
PROCES,411496894
ROCESS,410990904
GAINST,410751392
INCLUD,410696599
AGAINS,410444403
SECOND,409639485
STATES,408063764
POLITI,404047165
OPERAT,401426988
COMPAN,400204920
PROBLE,400153081
ROBLEM,400153081
OLITIC,398555993
LUTION,398549146
INATIO,397672270
NIVERS,396928466
QUESTI,394491374
CONTRO,392794290
ABILIT,391948211
TRIBUT,391936800
REQUIR,390143225
UNIVER,389854478
UESTIO,389540808
ERICAN,388904837
OSSIBL,388685503
ECONOM,386321805
